epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4444,1.82745,2.88623,1.25039,1.10538,0.45368,0.28669,0.32391,0.1662,0.23109,0.13115,0.14229,0.04819,1.91796,6.84872,1.22963,1.07001,0.0673861,0.000163889,0.000163889
2,29.4996,1.75485,2.84313,1.13075,1.08634,0.47721,0.31215,0.34475,0.18277,0.42648,0.27812,0.29684,0.12458,1.82848,2.97984,1.14481,1.05579,0.0342173,0.000328374,0.000328374
3,44.6266,1.68715,2.75169,1.08775,1.08398,0.46649,0.31217,0.32743,0.17823,0.41641,0.28467,0.29012,0.12517,1.8154,2.84864,1.14902,1.06805,0.00104621,0.000490659,0.000490659
4,60.3833,1.75245,2.74075,1.11772,1.08238,0.44213,0.31171,0.28766,0.15082,0.38686,0.28171,0.25027,0.10477,1.82458,2.80959,1.24772,1.0721,0.0004901,0.0004901,0.0004901
5,75.4804,1.69315,2.75058,1.08753,1.09516,0.47393,0.31339,0.33284,0.17875,0.42154,0.27876,0.29317,0.12807,1.80492,2.79658,1.14098,1.07099,0.0004868,0.0004868,0.0004868
6,90.6357,1.75034,2.75148,1.12428,1.08675,0.42773,0.2737,0.27316,0.14526,0.39071,0.24297,0.23703,0.10394,1.81723,2.81981,1.40328,1.07471,0.0004835,0.0004835,0.0004835
7,105.505,1.74063,2.75074,1.05421,1.07798,0.39849,0.25597,0.27434,0.15382,0.35643,0.22612,0.23966,0.11051,1.82612,2.80435,1.18185,1.06484,0.0004802,0.0004802,0.0004802
8,120.803,1.78128,2.76015,1.14631,1.06998,0.43478,0.28827,0.31392,0.1729,0.39068,0.25983,0.27796,0.12835,1.80594,2.78238,1.15543,1.0587,0.0004769,0.0004769,0.0004769
9,136.06,1.68878,2.65348,1.0707,1.07492,0.50549,0.32401,0.35005,0.19055,0.46477,0.2935,0.31514,0.146,1.79585,2.7783,1.13227,1.05839,0.0004736,0.0004736,0.0004736
10,151.449,1.6775,2.651,1.08527,1.07493,0.50227,0.33331,0.36027,0.19619,0.45917,0.30586,0.32738,0.15076,1.79724,2.78572,1.139,1.06926,0.0004703,0.0004703,0.0004703
11,166.851,1.72077,2.74713,1.06372,1.08872,0.49367,0.34647,0.362,0.19644,0.45485,0.31087,0.32803,0.14996,1.79677,2.76973,1.14742,1.07213,0.000467,0.000467,0.000467
12,182.33,1.67226,2.67901,1.03662,1.07324,0.49787,0.31005,0.33674,0.18164,0.43734,0.27181,0.29373,0.13049,1.82847,2.76947,1.16934,1.07399,0.0004637,0.0004637,0.0004637
13,198.088,1.77093,2.75161,1.093,1.0593,0.49027,0.29172,0.32746,0.177,0.42834,0.25,0.2775,0.12409,1.85199,2.78783,1.15972,1.08017,0.0004604,0.0004604,0.0004604
14,213.855,1.70853,2.66681,1.02037,1.05646,0.5121,0.30562,0.34312,0.18521,0.45518,0.2696,0.29962,0.13348,1.82074,2.75678,1.13011,1.07481,0.0004571,0.0004571,0.0004571
15,229.485,1.63509,2.62256,1.01192,1.07826,0.5026,0.33684,0.36576,0.19634,0.46048,0.30485,0.32746,0.14717,1.79639,2.73655,1.123,1.06383,0.0004538,0.0004538,0.0004538
16,245.332,1.63435,2.61126,1.00908,1.0625,0.49172,0.35042,0.36761,0.1977,0.44783,0.31683,0.33231,0.1494,1.79536,2.7236,1.1123,1.06106,0.0004505,0.0004505,0.0004505
17,261.3,1.6993,2.66974,1.04194,1.04854,0.48949,0.33772,0.36168,0.19469,0.43059,0.30741,0.32302,0.14456,1.80944,2.73955,1.10839,1.06606,0.0004472,0.0004472,0.0004472
18,276.814,1.68208,2.68147,1.0392,1.05122,0.50781,0.32027,0.35962,0.19123,0.4616,0.28851,0.3197,0.14127,1.79958,2.75222,1.10176,1.06729,0.0004439,0.0004439,0.0004439
19,292.14,1.68453,2.57908,1.04291,1.07867,0.50146,0.32019,0.35663,0.19136,0.45867,0.29072,0.32146,0.14386,1.79401,2.73949,1.10371,1.06362,0.0004406,0.0004406,0.0004406
20,307.308,1.67466,2.59038,1.05885,1.05952,0.48076,0.31439,0.33854,0.18472,0.44051,0.28944,0.3069,0.13773,1.78931,2.72777,1.11483,1.06266,0.0004373,0.0004373,0.0004373
