epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5735,2.89204,5.0077,2.78158,1.9093,0.06332,0.0832,0.03504,0.01485,0.00283,0.00113,0.00137,0.00028,2.82373,43.9381,inf,1.60653,0.081095,9.5e-05,9.5e-05
2,22.3861,2.34242,3.95843,1.80113,1.36743,0.06859,0.03714,0.03634,0.0168,0.00045,0.00048,0.00023,5e-05,3.11289,45.9353,inf,1.34917,0.0611937,0.000193713,0.000193713
3,33.3424,2.30785,3.65949,1.69917,1.25459,0.06175,0.07172,0.03871,0.0155,0.01265,0.01569,0.00665,0.00188,3.23012,21.5829,5.80137,1.39818,0.0412911,0.000291106,0.000291106
4,43.7405,2.16657,3.59691,1.55815,1.21043,0.14748,0.13302,0.11615,0.05884,0.06036,0.05492,0.036,0.01219,2.42244,12.1486,3.74211,1.20476,0.0213872,0.000387179,0.000387179
5,54.2869,2.06094,3.43776,1.42796,1.1935,0.23325,0.1606,0.15737,0.08221,0.19654,0.13755,0.12591,0.04335,2.26214,5.07964,2.66749,1.19851,0.00148193,0.000481932,0.000481932
6,65.1086,2.07701,3.38392,1.40924,1.18367,0.25525,0.17904,0.18638,0.09469,0.22492,0.15008,0.16055,0.06349,2.1948,4.10407,1.94848,1.17159,0.0004835,0.0004835,0.0004835
7,74.918,2.01576,3.40206,1.37849,1.17074,0.26977,0.22821,0.20179,0.09857,0.23139,0.19553,0.17068,0.06379,2.14823,3.94715,1.46489,1.16334,0.0004802,0.0004802,0.0004802
8,84.4196,1.91852,3.24997,1.29161,1.15206,0.29289,0.24208,0.21766,0.10107,0.26547,0.21603,0.19376,0.07285,2.1849,3.67164,1.37964,1.19066,0.0004769,0.0004769,0.0004769
9,94.2377,1.96196,3.26585,1.31199,1.13951,0.31163,0.22821,0.22701,0.10818,0.2824,0.20866,0.20299,0.07262,2.14689,3.6882,1.35436,1.17272,0.0004736,0.0004736,0.0004736
10,104.163,1.92542,3.22042,1.28674,1.14696,0.32718,0.20982,0.23102,0.11146,0.30561,0.1965,0.21198,0.07971,2.11213,3.55005,1.33783,1.16991,0.0004703,0.0004703,0.0004703
11,113.872,1.9325,3.17469,1.28505,1.12806,0.33924,0.2446,0.24674,0.12275,0.29156,0.22019,0.21086,0.08248,2.04215,3.54517,1.27879,1.13548,0.000467,0.000467,0.000467
12,123.146,1.87462,3.1188,1.23258,1.11007,0.34482,0.24874,0.2505,0.1208,0.30657,0.22304,0.21749,0.08709,2.06617,3.4318,1.33868,1.15211,0.0004637,0.0004637,0.0004637
13,133.217,1.94239,3.20064,1.26167,1.1113,0.34054,0.20963,0.23875,0.12021,0.32622,0.19898,0.223,0.09044,2.08309,3.39459,1.30433,1.14929,0.0004604,0.0004604,0.0004604
14,143.517,1.87797,3.06818,1.20254,1.0967,0.36744,0.20322,0.23622,0.12185,0.35079,0.19421,0.2213,0.09096,2.04378,3.38403,1.27297,1.1334,0.0004571,0.0004571,0.0004571
15,153.592,1.85336,3.01364,1.18961,1.09305,0.35149,0.20589,0.22849,0.11715,0.34697,0.20197,0.21853,0.09289,2.02052,3.39212,1.31864,1.12594,0.0004538,0.0004538,0.0004538
16,163.086,1.80842,3.04138,1.10972,1.08363,0.34671,0.2688,0.25414,0.12655,0.33299,0.25088,0.24002,0.10203,2.04053,3.28372,1.26622,1.14087,0.0004505,0.0004505,0.0004505
17,172.484,1.83815,2.99033,1.16062,1.07815,0.35384,0.27967,0.26767,0.13214,0.33675,0.2571,0.25466,0.10339,2.02255,3.28575,1.24319,1.12907,0.0004472,0.0004472,0.0004472
18,182.549,1.8084,3.02873,1.14106,1.08605,0.38804,0.25169,0.2812,0.14022,0.36861,0.23776,0.26506,0.10946,1.99907,3.24282,1.20852,1.11706,0.0004439,0.0004439,0.0004439
19,192.002,1.78875,3.00409,1.12421,1.07667,0.39656,0.23635,0.27076,0.13912,0.38768,0.23038,0.26087,0.11265,1.97108,3.20586,1.20588,1.10175,0.0004406,0.0004406,0.0004406
