epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4378,1.78929,2.76571,1.18078,1.09584,0.37285,0.27619,0.28786,0.15452,0.34473,0.24848,0.25784,0.11728,1.91,3.14435,1.27273,1.11113,0.000546406,0.000546406,0.000546406
2,29.7665,1.7526,2.87425,1.14731,1.09517,0.44283,0.30336,0.30755,0.16283,0.3851,0.25242,0.25163,0.09862,1.89164,3.12708,1.21625,1.0838,0.00105843,0.00105843,0.00105843
3,44.7043,1.74944,2.82238,1.13731,1.09265,0.4265,0.26423,0.28643,0.1507,0.37638,0.22987,0.24581,0.1003,1.94478,2.93872,1.22749,1.08235,0.00152645,0.00152645,0.00152645
4,59.9674,1.81977,2.93035,1.19539,1.1047,0.29673,0.22026,0.19119,0.10012,0.25743,0.19558,0.15936,0.0673,1.96333,3.27748,3.5473,1.11689,0.00146896,0.00146896,0.00146896
5,74.1891,1.75484,2.92664,1.18457,1.11841,0.42873,0.26437,0.27774,0.14553,0.38693,0.23967,0.24071,0.10393,1.94582,3.10449,1.33113,1.11636,0.00140295,0.00140295,0.00140295
6,89.2361,1.80735,2.85984,1.19426,1.10821,0.47149,0.25329,0.28737,0.15349,0.43044,0.2276,0.25178,0.10824,1.91876,3.14346,1.25837,1.09672,0.00133693,0.00133693,0.00133693
7,103.94,1.79584,2.86289,1.11158,1.0926,0.44298,0.27894,0.30595,0.16271,0.40765,0.25443,0.27544,0.117,1.9123,3.47817,1.26252,1.10528,0.00127092,0.00127092,0.00127092
8,119.174,1.84347,2.87369,1.19833,1.0995,0.47891,0.30886,0.33019,0.17079,0.41524,0.28744,0.29017,0.12514,1.90576,3.04413,1.21682,1.11074,0.00120491,0.00120491,0.00120491
9,134.315,1.72595,2.7356,1.10033,1.096,0.46434,0.3137,0.33129,0.17381,0.41903,0.29205,0.30016,0.1311,1.91681,2.96009,1.17823,1.11038,0.00113889,0.00113889,0.00113889
10,149.44,1.72727,2.73339,1.12234,1.09279,0.48872,0.30751,0.33604,0.17531,0.43272,0.28018,0.30051,0.12874,1.88139,2.87859,1.17432,1.09778,0.00107288,0.00107288,0.00107288
11,164.423,1.7713,2.80755,1.10423,1.10357,0.50261,0.30924,0.3397,0.17892,0.45813,0.2833,0.30685,0.13467,1.86766,2.86486,1.15388,1.08334,0.00100687,0.00100687,0.00100687
12,179.785,1.71668,2.74405,1.06786,1.09423,0.48227,0.29377,0.32892,0.17085,0.41064,0.26139,0.28465,0.1207,1.91905,2.87368,1.16941,1.0957,0.000940855,0.000940855,0.000940855
13,195.097,1.79568,2.80396,1.13018,1.07293,0.52686,0.30049,0.35004,0.18348,0.48903,0.2657,0.30582,0.13179,1.85426,2.83165,1.13982,1.08201,0.000874842,0.000874842,0.000874842
14,210.535,1.72759,2.70776,1.03772,1.0666,0.49672,0.30261,0.3386,0.18094,0.45558,0.27443,0.30171,0.13123,1.818,2.83103,1.14964,1.07987,0.000808828,0.000808828,0.000808828
15,225.813,1.64592,2.65869,1.03445,1.08746,0.49083,0.33348,0.35207,0.18302,0.44151,0.3045,0.31611,0.1411,1.81725,2.77889,1.13894,1.07444,0.000742815,0.000742815,0.000742815
16,271.123,1.74734,2.66594,1.20927,1.07599,0.48069,0.3318,0.34681,0.17952,0.42998,0.30227,0.30635,0.13588,1.81462,2.78125,1.19842,1.07889,0.000676802,0.000676802,0.000676802
17,285.875,1.78426,2.7419,1.20746,1.0719,0.5172,0.29149,0.33314,0.17669,0.46504,0.25924,0.2915,0.13203,1.82941,2.792,1.17878,1.0863,0.000610789,0.000610789,0.000610789
18,300.336,1.73603,2.71202,1.13703,1.09299,0.52408,0.27529,0.32019,0.17412,0.48328,0.24956,0.28891,0.13179,1.82319,2.78668,1.16942,1.08119,0.000544776,0.000544776,0.000544776
19,315.349,1.73084,2.6346,1.14407,1.0708,0.49525,0.28578,0.32623,0.17679,0.45985,0.26233,0.29758,0.13369,1.82849,2.78294,1.15909,1.076,0.000478762,0.000478762,0.000478762
20,329.88,1.74589,2.6318,1.13374,1.06721,0.47379,0.33062,0.34709,0.1864,0.44326,0.29641,0.31693,0.14171,1.82132,2.7605,1.1593,1.06843,0.000412749,0.000412749,0.000412749
21,343.946,1.78643,2.6736,1.1264,1.07188,0.49018,0.34704,0.36091,0.19478,0.44977,0.31601,0.32631,0.14667,1.80509,2.73625,1.14652,1.07566,0.000346736,0.000346736,0.000346736
22,358.681,1.73566,2.62426,1.17612,1.06709,0.51068,0.32861,0.3582,0.19214,0.45642,0.29764,0.31997,0.14394,1.8094,2.73046,1.13985,1.07705,0.000280723,0.000280723,0.000280723
23,372.861,1.70406,2.62169,1.07672,1.06957,0.50312,0.32641,0.35568,0.19183,0.45509,0.30188,0.32112,0.14342,1.80454,2.72636,1.13293,1.07094,0.00021471,0.00021471,0.00021471
24,387.133,1.69103,2.5643,1.07652,1.05146,0.51236,0.32381,0.35676,0.1918,0.46751,0.29667,0.32276,0.14588,1.79736,2.7142,1.12148,1.06802,0.000148696,0.000148696,0.000148696
25,401.654,1.66816,2.56452,1.05136,1.0585,0.51019,0.3285,0.36149,0.19446,0.46984,0.30151,0.32982,0.14818,1.79037,2.70234,1.11565,1.06729,8.26832e-05,8.26832e-05,8.26832e-05
