epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0312,1.78459,2.97238,1.14171,1.10398,0.5425,0.19092,0.31428,0.17221,0.35409,0.11524,0.18815,0.07437,1.74985,7.01118,1.15784,1.13063,0.0676625,0.0001625,0.0001625
2,27.0784,1.78912,2.90086,1.0864,1.0777,0.46815,0.32696,0.34208,0.18457,0.43438,0.29851,0.30777,0.13067,1.62537,3.00227,0.9915,1.11314,0.0344937,0.000326994,0.000326994
3,40.5721,1.72292,2.66451,1.07454,1.05096,0.50309,0.35255,0.35788,0.1914,0.45996,0.32931,0.32683,0.14238,1.60085,2.7614,1.00929,1.11198,0.00132262,0.000489288,0.000489288
4,54.4701,1.71774,2.8342,1.05403,1.08235,0.48845,0.33706,0.35313,0.19074,0.47507,0.33076,0.33791,0.15195,1.61498,2.7627,0.98446,1.11368,0.0004901,0.0004901,0.0004901
5,68.6816,1.74262,2.82319,1.07385,1.08027,0.46393,0.30445,0.32925,0.17928,0.4563,0.29751,0.31724,0.14667,1.65801,2.82544,0.99486,1.13737,0.0004868,0.0004868,0.0004868
6,82.1422,1.75873,2.81099,1.092,1.07306,0.48578,0.29543,0.32899,0.18054,0.45982,0.28541,0.30485,0.13849,1.61687,2.82093,0.99391,1.1213,0.0004835,0.0004835,0.0004835
7,95.1642,1.69124,2.6977,1.03484,1.06985,0.49586,0.30684,0.33462,0.18064,0.45403,0.28553,0.29543,0.13058,1.61146,2.82569,0.9753,1.1087,0.0004802,0.0004802,0.0004802
8,108.78,1.64172,2.64468,1.00196,1.06328,0.48382,0.33128,0.34521,0.18503,0.45568,0.30402,0.31102,0.14045,1.6243,2.70086,0.97969,1.10601,0.0004769,0.0004769,0.0004769
9,121.539,1.69731,2.70053,1.05264,1.06982,0.47609,0.33627,0.34608,0.18215,0.43588,0.31608,0.31405,0.14207,1.6381,2.72725,0.98469,1.11342,0.0004736,0.0004736,0.0004736
10,135.245,1.67705,2.67512,1.05376,1.07026,0.45986,0.33997,0.34334,0.18195,0.43813,0.3171,0.31763,0.14541,1.62922,2.70102,0.98425,1.11501,0.0004703,0.0004703,0.0004703
