epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,473.422,1.89473,3.12551,1.20439,1.13101,0.34682,0.25202,0.24618,0.11999,0.32407,0.23284,0.22991,0.10108,1.90356,2.92324,1.19671,1.05524,0.0011884,0.0011884,0.0011884
31,492.888,1.86079,3.10479,1.12624,1.11601,0.37584,0.2446,0.25407,0.12389,0.34293,0.21802,0.22795,0.10024,1.88748,2.93542,1.18157,1.0575,0.0011719,0.0011719,0.0011719
32,503.232,1.86374,3.09959,1.10489,1.09434,0.3861,0.24048,0.25311,0.1246,0.38023,0.23115,0.24489,0.1063,1.84397,2.91303,1.16703,1.04998,0.0011554,0.0011554,0.0011554
33,515.576,1.96489,3.182,1.18807,1.08781,0.35491,0.27184,0.26242,0.12752,0.35218,0.25065,0.24799,0.10476,1.88588,2.94096,1.17706,1.05782,0.00113889,0.00113889,0.00113889
34,531.936,1.92141,3.0583,1.19521,1.10862,0.35202,0.25089,0.25422,0.12663,0.33275,0.23631,0.23856,0.10568,1.83401,2.86196,1.1514,1.03989,0.00112239,0.00112239,0.00112239
35,544.466,1.85027,3.08075,1.11467,1.10271,0.38501,0.22571,0.24914,0.12363,0.39043,0.21017,0.23032,0.10192,1.84714,2.88266,1.1811,1.03687,0.00110589,0.00110589,0.00110589
36,566.952,1.89319,3.05445,1.15528,1.08078,0.41055,0.23634,0.26916,0.13345,0.39211,0.22217,0.24852,0.10912,1.88164,2.87694,1.15482,1.04977,0.00108938,0.00108938,0.00108938
37,589.927,1.93694,3.14323,1.19072,1.09893,0.38159,0.28558,0.27758,0.13378,0.36731,0.26969,0.26584,0.11293,1.86986,2.90478,1.16024,1.05251,0.00107288,0.00107288,0.00107288
38,604.889,1.88455,3.10313,1.15909,1.11739,0.37438,0.27291,0.26108,0.12589,0.37287,0.26864,0.25734,0.11494,1.86774,2.86067,1.17232,1.05659,0.00105638,0.00105638,0.00105638
39,626.595,1.85961,3.08345,1.11329,1.10539,0.38746,0.26881,0.268,0.13122,0.39005,0.26141,0.2628,0.1181,1.87225,2.85634,1.14782,1.06824,0.00103987,0.00103987,0.00103987
40,638.549,1.83902,3.08497,1.08063,1.08817,0.3741,0.2551,0.25841,0.12599,0.38316,0.25203,0.25754,0.11479,1.87482,2.85489,1.16793,1.06597,0.00102337,0.00102337,0.00102337
41,657.488,1.86015,3.0928,1.08915,1.09456,0.37421,0.24571,0.25337,0.12546,0.36335,0.23147,0.23992,0.10649,1.88089,2.87987,1.14821,1.05793,0.00100687,0.00100687,0.00100687
42,667.993,1.79325,2.99185,1.09807,1.08009,0.37967,0.23537,0.2563,0.13048,0.35749,0.22414,0.24203,0.10532,1.86131,2.90771,1.14072,1.04122,0.000990365,0.000990365,0.000990365
43,677.642,1.79761,3.0482,1.07768,1.08198,0.37217,0.21527,0.24945,0.12593,0.35987,0.20612,0.23867,0.10578,1.85042,2.89372,1.15701,1.03577,0.000973861,0.000973861,0.000973861
44,688.048,1.86856,3.09436,1.13754,1.0916,0.36797,0.287,0.26956,0.13179,0.34849,0.26969,0.25211,0.10857,1.85887,2.89896,1.15622,1.03188,0.000957358,0.000957358,0.000957358
45,698.798,1.85426,2.98683,1.14929,1.08742,0.36477,0.29578,0.28047,0.13689,0.35083,0.2722,0.26257,0.11353,1.86369,2.83876,1.16509,1.04115,0.000940855,0.000940855,0.000940855
46,717.454,1.88471,3.06274,1.15771,1.08843,0.38545,0.23605,0.25742,0.12587,0.37425,0.22944,0.24833,0.10878,1.85002,2.832,1.1658,1.03335,0.000924352,0.000924352,0.000924352
47,732.719,1.92145,3.07484,1.14395,1.07809,0.38752,0.25144,0.26757,0.12962,0.38388,0.24377,0.25979,0.11396,1.84863,2.84371,1.13219,1.03139,0.000907848,0.000907848,0.000907848
48,748.142,1.90311,3.05049,1.15509,1.10108,0.37942,0.25927,0.26603,0.12842,0.37613,0.24619,0.25544,0.11447,1.84527,2.80674,1.13429,1.03578,0.000891345,0.000891345,0.000891345
49,772.018,1.90979,3.13801,1.07977,1.0731,0.39781,0.24561,0.26501,0.13168,0.37578,0.22716,0.24423,0.10855,1.85384,2.83309,1.1058,1.04445,0.000874842,0.000874842,0.000874842
50,784.55,1.82583,3.03746,1.04092,1.06574,0.41997,0.23499,0.25761,0.12843,0.39237,0.22643,0.2466,0.11182,1.8802,2.83057,1.10185,1.04639,0.000858338,0.000858338,0.000858338
51,803.941,1.83337,3.08966,1.07527,1.07778,0.3871,0.26734,0.27401,0.13356,0.39403,0.26162,0.27743,0.1223,1.85532,2.83989,1.11299,1.05253,0.000841835,0.000841835,0.000841835
52,821.362,1.87202,3.06985,1.11831,1.07936,0.37278,0.28473,0.27068,0.13481,0.37229,0.27446,0.26845,0.12152,1.82086,2.82401,1.13243,1.05412,0.000825332,0.000825332,0.000825332
53,834.207,1.83644,2.99451,1.07243,1.07885,0.3732,0.29401,0.27509,0.1375,0.36686,0.27399,0.26565,0.12032,1.81528,2.80086,1.1208,1.04901,0.000808828,0.000808828,0.000808828
54,848.847,1.79184,2.93285,1.04785,1.06982,0.39897,0.26215,0.27034,0.13519,0.38122,0.2452,0.25494,0.11434,1.84897,2.76845,1.10571,1.04167,0.000792325,0.000792325,0.000792325
55,862.206,1.83925,2.96712,1.08163,1.06883,0.38369,0.23571,0.25075,0.12571,0.34736,0.21002,0.2214,0.09999,1.83926,2.86888,1.10819,1.02851,0.000775822,0.000775822,0.000775822
56,874.675,1.95873,3.14769,1.15104,1.0866,0.40683,0.2222,0.24605,0.12301,0.36386,0.2067,0.22356,0.09963,1.85904,2.83322,1.11534,1.03223,0.000759318,0.000759318,0.000759318
57,896.625,1.87779,3.04357,1.12125,1.08704,0.38841,0.27663,0.27883,0.13911,0.37963,0.26833,0.27082,0.12222,1.80967,2.76449,1.10397,1.02627,0.000742815,0.000742815,0.000742815
58,908.631,1.76287,2.98762,1.04264,1.08223,0.37263,0.28464,0.276,0.13905,0.36976,0.27784,0.27073,0.12268,1.80524,2.78751,1.10353,1.02511,0.000726312,0.000726312,0.000726312
59,925.994,1.83399,3.00228,1.07471,1.07856,0.38049,0.30352,0.28517,0.14173,0.38397,0.28467,0.2775,0.1248,1.81904,2.80895,1.10861,1.0348,0.000709809,0.000709809,0.000709809
60,941.707,1.73578,2.92093,0.99522,1.05767,0.38051,0.26817,0.27808,0.13987,0.3727,0.25718,0.27315,0.12488,1.82722,2.78221,1.09681,1.04096,0.000693305,0.000693305,0.000693305
61,957.826,1.80567,2.98423,1.05487,1.06912,0.38907,0.26369,0.27696,0.13866,0.38191,0.25188,0.27028,0.12446,1.80484,2.73781,1.09431,1.03739,0.000676802,0.000676802,0.000676802
62,967.099,1.86236,2.93049,1.109,1.07032,0.39881,0.2788,0.28884,0.14378,0.38707,0.2692,0.28147,0.12748,1.77857,2.71347,1.08918,1.0314,0.000660299,0.000660299,0.000660299
63,983.317,1.83295,2.91979,1.07465,1.08008,0.39931,0.26959,0.28926,0.14532,0.39677,0.27069,0.28489,0.12783,1.78026,2.72427,1.0802,1.0316,0.000643795,0.000643795,0.000643795
64,993.489,1.80387,2.99932,1.06358,1.05936,0.40567,0.27501,0.2879,0.14461,0.39648,0.2678,0.27863,0.12497,1.78743,2.7368,1.07487,1.0331,0.000627292,0.000627292,0.000627292
65,1008.05,1.78509,2.89225,1.04505,1.06997,0.39406,0.29042,0.28365,0.14367,0.37519,0.27717,0.2689,0.12173,1.82337,2.7441,1.09958,1.03679,0.000610789,0.000610789,0.000610789
66,1026.91,1.7145,2.8201,0.9808,1.05466,0.38677,0.27633,0.27271,0.13816,0.37238,0.25955,0.25779,0.11777,1.79924,2.7337,1.09455,1.02724,0.000594286,0.000594286,0.000594286
67,1042.29,1.85058,2.96982,1.09501,1.07792,0.39106,0.25457,0.27505,0.14003,0.37724,0.24498,0.26321,0.11967,1.79302,2.72528,1.08765,1.02755,0.000577782,0.000577782,0.000577782
68,1057.49,1.77026,2.86334,1.03235,1.06412,0.40748,0.25222,0.27612,0.1408,0.39912,0.24262,0.26771,0.12451,1.8004,2.75853,1.09463,1.02837,0.000561279,0.000561279,0.000561279
69,1070.99,1.73867,2.92235,1.01944,1.06609,0.3983,0.25772,0.27713,0.14113,0.39903,0.25327,0.27626,0.12689,1.79278,2.7595,1.09464,1.02811,0.000544776,0.000544776,0.000544776
70,1083.65,1.7311,2.84725,1.00901,1.06488,0.38898,0.29884,0.2897,0.14851,0.40098,0.26905,0.27566,0.12831,1.77244,2.73639,1.0946,1.02628,0.000528272,0.000528272,0.000528272
71,1098.65,1.88845,3.02182,1.11085,1.08196,0.38965,0.30324,0.29041,0.14872,0.38748,0.2731,0.27388,0.12516,1.75721,2.71528,1.09615,1.02394,0.000511769,0.000511769,0.000511769
