epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,153.898,2.00733,2.95267,1.85116,1.29131,0.28602,0.31689,0.2087,0.08483,0.29048,0.32182,0.21187,0.07436,2.00556,3.21548,2.1378,1.44019,0.00120491,0.00120491,0.00120491
30,159.085,1.96719,2.87151,1.80231,1.25823,0.30236,0.30086,0.20509,0.08415,0.31443,0.3058,0.21826,0.07917,1.96896,3.20439,2.08538,1.42096,0.0011884,0.0011884,0.0011884
31,164.24,1.97107,2.90902,1.76376,1.26831,0.26981,0.24968,0.19408,0.08686,0.29613,0.23551,0.2045,0.0796,1.99598,3.20306,2.21317,1.44047,0.0011719,0.0011719,0.0011719
32,169.337,1.92348,2.86257,1.90662,1.3049,0.23178,0.2526,0.16596,0.07372,0.2395,0.23649,0.16647,0.06706,2.02837,3.27846,2.24681,1.44976,0.0011554,0.0011554,0.0011554
33,174.512,1.92791,2.84083,1.82188,1.24052,0.27839,0.2836,0.19336,0.08885,0.28491,0.27374,0.19165,0.07457,1.96729,3.31615,2.2109,1.41891,0.00113889,0.00113889,0.00113889
34,179.661,1.97787,2.89725,1.80232,1.2714,0.29744,0.27407,0.20802,0.09275,0.30278,0.29183,0.21451,0.08334,1.92705,3.18187,2.24138,1.4118,0.00112239,0.00112239,0.00112239
35,184.886,1.93086,2.85,1.75315,1.25475,0.22842,0.23058,0.14554,0.06377,0.24094,0.23181,0.14791,0.05606,1.98306,3.22065,2.40759,1.38876,0.00110589,0.00110589,0.00110589
36,190.13,1.90302,2.79367,1.7211,1.23768,0.28207,0.2836,0.20748,0.09529,0.30013,0.2799,0.21758,0.08644,1.96423,3.16641,2.13143,1.38429,0.00108938,0.00108938,0.00108938
37,195.506,1.94761,2.81707,1.726,1.23302,0.292,0.26851,0.19921,0.08694,0.31222,0.27004,0.20878,0.07726,2.01427,3.14988,2.13059,1.40902,0.00107288,0.00107288,0.00107288
38,200.475,1.98715,2.83126,1.72727,1.24239,0.2862,0.265,0.17746,0.07517,0.30272,0.27127,0.1863,0.06611,2.07405,3.21054,2.16433,1.4335,0.00105638,0.00105638,0.00105638
39,205.521,1.96395,2.8644,1.79589,1.26237,0.33005,0.2873,0.2258,0.1022,0.36258,0.29107,0.24925,0.09252,1.98186,3.15672,2.04778,1.38598,0.00103987,0.00103987,0.00103987
40,210.798,1.92247,2.91737,1.72189,1.28085,0.3115,0.29177,0.21278,0.09526,0.31596,0.28853,0.22611,0.0849,2.00153,3.13748,2.05198,1.42481,0.00102337,0.00102337,0.00102337
41,215.953,1.86402,2.80869,1.66738,1.20924,0.31428,0.3021,0.22818,0.10534,0.32291,0.30086,0.24176,0.0944,1.94555,3.14669,2.05263,1.39195,0.00100687,0.00100687,0.00100687
42,221.162,1.74937,2.65977,1.61533,1.21507,0.34209,0.291,0.24259,0.11053,0.3533,0.28113,0.24966,0.10148,1.93591,3.16412,2.06594,1.36822,0.000990365,0.000990365,0.000990365
43,226.413,1.86939,2.80687,1.63488,1.24696,0.3416,0.33292,0.23913,0.10478,0.34263,0.33046,0.24391,0.08699,2.01773,3.30862,2.08754,1.41342,0.000973861,0.000973861,0.000973861
44,231.522,1.92065,2.78879,1.68232,1.26907,0.30246,0.31566,0.21676,0.0937,0.31388,0.30826,0.22006,0.08178,2.01977,3.26098,2.10078,1.4292,0.000957358,0.000957358,0.000957358
45,236.82,1.9308,2.85258,1.63789,1.24352,0.28667,0.26214,0.1862,0.07619,0.29193,0.26435,0.18613,0.06617,2.02763,3.31232,2.19406,1.43466,0.000940855,0.000940855,0.000940855
46,241.919,1.84994,2.71257,1.66202,1.23594,0.31339,0.28483,0.22326,0.09532,0.33779,0.28237,0.23177,0.08671,1.97734,3.22228,2.13188,1.41709,0.000924352,0.000924352,0.000924352
47,247.185,1.90739,2.76307,1.61145,1.21419,0.30796,0.29246,0.22003,0.0983,0.32224,0.30602,0.23783,0.09165,1.9646,3.06409,2.15915,1.42517,0.000907848,0.000907848,0.000907848
48,252.401,1.86353,2.72049,1.64068,1.2104,0.29447,0.30826,0.21744,0.09545,0.31568,0.31443,0.2262,0.08777,1.94436,3.04255,2.17799,1.40691,0.000891345,0.000891345,0.000891345
49,257.542,1.81893,2.74243,1.65057,1.19087,0.30966,0.30826,0.22163,0.09646,0.32902,0.32046,0.23772,0.09123,1.96111,3.05498,2.15109,1.41166,0.000874842,0.000874842,0.000874842
50,262.498,1.78423,2.64394,1.56815,1.19753,0.29819,0.291,0.21014,0.09445,0.3206,0.29963,0.22804,0.08893,1.97235,3.1018,2.1824,1.41449,0.000858338,0.000858338,0.000858338
51,267.612,1.67897,2.59806,1.5384,1.19118,0.26426,0.33416,0.21288,0.09307,0.26548,0.33169,0.21709,0.07998,1.97602,3.20729,2.16811,1.40664,0.000841835,0.000841835,0.000841835
52,272.829,1.83012,2.71764,1.59976,1.20819,0.29384,0.30333,0.22037,0.09847,0.31856,0.31196,0.23657,0.09085,1.97229,3.2393,2.01744,1.40034,0.000825332,0.000825332,0.000825332
53,278.031,1.74144,2.59063,1.54845,1.1813,0.29208,0.30473,0.21261,0.09384,0.286,0.28483,0.20759,0.07823,2.0002,3.22437,2.06689,1.39956,0.000808828,0.000808828,0.000808828
54,283.152,1.76133,2.63616,1.57486,1.16101,0.29163,0.31196,0.2138,0.09608,0.28877,0.28483,0.20588,0.0805,2.00408,3.21631,2.09101,1.41303,0.000792325,0.000792325,0.000792325
55,288.483,1.79376,2.68901,1.54066,1.19393,0.33793,0.31196,0.23503,0.10576,0.34661,0.30826,0.24744,0.09846,1.95588,3.19285,2.09449,1.38507,0.000775822,0.000775822,0.000775822
56,293.626,1.74691,2.62525,1.57783,1.19931,0.31958,0.28607,0.20914,0.09011,0.30991,0.29625,0.21496,0.08228,1.97315,3.18027,2.12099,1.39384,0.000759318,0.000759318,0.000759318
