epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9538,1.77195,2.86181,1.17116,1.1065,0.37534,0.32885,0.30057,0.15259,0.33502,0.29782,0.26601,0.11674,1.86097,2.77758,1.21625,1.0719,0.000546406,0.000546406,0.000546406
2,29.7349,1.79681,2.86758,1.16774,1.10693,0.28562,0.19518,0.12693,0.06347,0.25185,0.1618,0.10431,0.04656,1.84442,2.79409,3.69764,1.06766,0.00105843,0.00105843,0.00105843
3,44.3808,1.70335,2.80244,1.10151,1.0978,0.3202,0.19633,0.14109,0.07411,0.28722,0.16608,0.12017,0.05409,1.8628,2.79363,4.39915,1.06102,0.00152645,0.00152645,0.00152645
4,58.8527,1.7716,2.85031,1.1917,1.11391,0.33051,0.26087,0.25341,0.12813,0.30806,0.24072,0.22886,0.10061,1.87768,3.27903,1.26093,1.08066,0.00146896,0.00146896,0.00146896
5,73.946,1.80877,2.92878,1.18561,1.13639,0.40222,0.26318,0.26441,0.13095,0.38528,0.25112,0.24236,0.10769,1.8983,2.7924,1.24573,1.08764,0.00140295,0.00140295,0.00140295
6,89.0976,1.80356,2.91805,1.16634,1.11488,0.40647,0.26396,0.27559,0.14173,0.38791,0.24757,0.25495,0.11081,1.90896,2.82916,1.20431,1.09125,0.00133693,0.00133693,0.00133693
7,103.115,1.76847,2.842,1.10863,1.11977,0.40625,0.2941,0.29907,0.14984,0.393,0.28478,0.28669,0.12717,1.90285,2.75483,1.17701,1.10287,0.00127092,0.00127092,0.00127092
8,117.759,1.82917,2.86784,1.18165,1.09823,0.43116,0.326,0.31989,0.15974,0.37871,0.28471,0.27293,0.11913,1.8597,2.70418,1.16502,1.07897,0.00120491,0.00120491,0.00120491
9,132.971,1.73585,2.85513,1.11865,1.11262,0.41064,0.33398,0.30903,0.15641,0.38288,0.28851,0.27418,0.12216,1.88795,2.75379,1.18843,1.09383,0.00113889,0.00113889,0.00113889
10,147.988,1.66444,2.75823,1.04071,1.09228,0.43325,0.32034,0.31263,0.15645,0.39971,0.29409,0.27937,0.1187,1.8852,2.73957,1.17091,1.07663,0.00107288,0.00107288,0.00107288
11,162.4,1.69865,2.70467,1.06886,1.08785,0.43514,0.33237,0.32287,0.15913,0.39804,0.28531,0.27662,0.11742,1.87955,2.70184,1.16301,1.07526,0.00100687,0.00100687,0.00100687
12,177.082,1.69534,2.71683,1.05489,1.09301,0.45261,0.30842,0.31994,0.16261,0.40722,0.2696,0.27486,0.12387,1.84416,2.64534,1.13832,1.07075,0.000940855,0.000940855,0.000940855
13,192.796,1.75592,2.83364,1.09983,1.08656,0.46057,0.31808,0.3335,0.16838,0.41916,0.29701,0.30057,0.13846,1.84778,2.66356,1.13084,1.07536,0.000874842,0.000874842,0.000874842
14,207.807,1.73288,2.73413,1.04226,1.06649,0.44472,0.35361,0.3364,0.1726,0.39585,0.31693,0.29627,0.13002,1.83007,2.65036,1.14236,1.06183,0.000808828,0.000808828,0.000808828
15,222.882,1.63226,2.70203,0.99147,1.06146,0.47887,0.325,0.34039,0.17375,0.42651,0.28643,0.2917,0.12947,1.82501,2.62855,1.11286,1.06121,0.000742815,0.000742815,0.000742815
16,265.386,1.72709,2.74753,1.15311,1.08768,0.41107,0.301,0.30095,0.15445,0.37861,0.2759,0.26832,0.12275,1.83013,2.66534,1.16723,1.06847,0.000676802,0.000676802,0.000676802
17,279.231,1.78746,2.75172,1.17602,1.08039,0.42783,0.2915,0.30276,0.15833,0.39329,0.26013,0.26764,0.12343,1.82061,2.64717,1.1491,1.06684,0.000610789,0.000610789,0.000610789
18,292.997,1.69734,2.697,1.10975,1.09239,0.44904,0.31639,0.32284,0.16599,0.41827,0.28045,0.28529,0.12941,1.81556,2.64983,1.12592,1.07427,0.000544776,0.000544776,0.000544776
19,306.694,1.66229,2.65836,1.08303,1.09927,0.46645,0.31638,0.32344,0.16532,0.42667,0.28548,0.28586,0.12805,1.82425,2.65232,1.12607,1.07358,0.000478762,0.000478762,0.000478762
20,320.469,1.73059,2.67761,1.14304,1.08614,0.47607,0.3367,0.34007,0.17154,0.43101,0.30513,0.30228,0.13176,1.8298,2.606,1.13017,1.07064,0.000412749,0.000412749,0.000412749
21,334.102,1.71982,2.69302,1.08506,1.07295,0.46793,0.35278,0.34937,0.18008,0.41826,0.32023,0.3135,0.13698,1.81074,2.58527,1.12217,1.06283,0.000346736,0.000346736,0.000346736
22,348.096,1.68537,2.60996,1.08513,1.06676,0.47155,0.35334,0.35447,0.1842,0.42197,0.32027,0.31616,0.14061,1.79949,2.6067,1.11068,1.06252,0.000280723,0.000280723,0.000280723
23,362.014,1.68407,2.63255,1.07311,1.07593,0.46802,0.34838,0.35205,0.18206,0.42889,0.32052,0.31796,0.14351,1.79205,2.59423,1.10794,1.06629,0.00021471,0.00021471,0.00021471
24,375.969,1.73481,2.64315,1.0949,1.08274,0.45656,0.34461,0.34691,0.18064,0.41772,0.32303,0.31508,0.14245,1.78799,2.58095,1.09967,1.06345,0.000148696,0.000148696,0.000148696
25,389.828,1.63228,2.57794,1.05639,1.07432,0.47873,0.34039,0.35372,0.18373,0.42589,0.31713,0.31263,0.14125,1.78257,2.57254,1.0926,1.06049,8.26832e-05,8.26832e-05,8.26832e-05
