epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.311,3.02617,4.95565,3.79965,1.97711,0.15889,0.11909,0.12294,0.06846,0.15472,0.11744,0.11931,0.0562,2.0478,3.83082,inf,1.32393,0.00023338,0.00023338,0.00023338
2,40.4954,2.47967,4.13649,2.00084,1.42433,0.17132,0.17243,0.11511,0.05652,0.18716,0.16778,0.11931,0.05128,2.25059,4.00013,4.93262,1.44246,0.000478644,0.000478644,0.000478644
3,50.7954,2.33544,3.81497,1.66407,1.28627,0.23879,0.20114,0.17341,0.09556,0.22852,0.19284,0.1669,0.06561,2.01481,3.85845,3.41062,1.26429,0.000718957,0.000718957,0.000718957
4,60.7952,2.14619,3.71197,1.48779,1.21515,0.2381,0.17756,0.17789,0.08887,0.23745,0.16912,0.16321,0.06302,2.09339,4.08469,2.16741,1.31863,0.000954319,0.000954319,0.000954319
5,70.3643,2.15958,3.70544,1.53252,1.21758,0.25294,0.18067,0.18257,0.09322,0.2405,0.17141,0.17246,0.06849,1.90609,3.82658,1.68976,1.20275,0.00118473,0.00118473,0.00118473
6,84.7022,2.09236,3.47387,1.46359,1.15472,0.26288,0.16262,0.17084,0.09193,0.26091,0.16095,0.16255,0.06229,1.88546,4.07023,1.95571,1.20097,0.00141019,0.00141019,0.00141019
7,94.8983,2.12706,3.49698,1.38962,1.17011,0.3007,0.13122,0.16954,0.09227,0.20321,0.13582,0.14288,0.06433,1.88755,3.93265,2.21845,1.21048,0.00156798,0.00156798,0.00156798
8,104.953,1.99603,3.41403,1.29242,1.1603,0.25084,0.16741,0.19971,0.10823,0.24692,0.15312,0.18011,0.07356,1.84888,3.53707,1.61413,1.18877,0.00155148,0.00155148,0.00155148
9,115.109,2.04798,3.28272,1.3485,1.14524,0.26692,0.19252,0.20963,0.11291,0.24663,0.18001,0.19046,0.07971,1.83902,3.39966,1.38959,1.16661,0.00153497,0.00153497,0.00153497
10,125.683,1.92199,3.32333,1.23696,1.13684,0.31733,0.24393,0.23597,0.12828,0.29565,0.2165,0.20787,0.08653,1.77499,3.36766,1.17294,1.12557,0.00151847,0.00151847,0.00151847
