epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.89,1.76425,2.84168,1.15598,1.09214,0.47616,0.33143,0.34784,0.18904,0.4611,0.31935,0.33416,0.15232,1.71221,2.79138,1.09329,1.11478,0.000546406,0.000546406,0.000546406
2,29.9586,1.86872,2.90709,1.20914,1.10057,0.4492,0.3066,0.30776,0.16112,0.4335,0.29347,0.2901,0.12645,1.81056,2.90653,1.15575,1.16145,0.00105843,0.00105843,0.00105843
3,43.812,1.77255,2.81545,1.19491,1.08426,0.39265,0.28818,0.27937,0.15509,0.35586,0.25689,0.24567,0.11002,1.76922,2.96936,1.18336,1.1321,0.00152645,0.00152645,0.00152645
4,57.6156,1.78427,2.84449,1.17075,1.11223,0.44458,0.30666,0.3055,0.16081,0.41447,0.28949,0.28183,0.12188,1.88689,3.03179,1.20267,1.19471,0.00146896,0.00146896,0.00146896
5,72.573,1.83917,2.92945,1.16051,1.10542,0.43868,0.30739,0.3135,0.16153,0.40924,0.28284,0.2809,0.12648,1.85125,2.89366,1.16174,1.18806,0.00140295,0.00140295,0.00140295
6,87.2011,1.78255,2.88728,1.21748,1.11237,0.48587,0.24959,0.28309,0.14616,0.44256,0.22696,0.24522,0.1072,1.78066,2.91735,1.13486,1.14823,0.00133693,0.00133693,0.00133693
7,100.892,1.77496,2.80892,1.14605,1.09771,0.39877,0.27212,0.27483,0.14609,0.36552,0.24642,0.24562,0.10367,1.78378,2.95873,1.11156,1.15698,0.00127092,0.00127092,0.00127092
8,115.437,1.89975,2.93752,1.25628,1.10397,0.48532,0.30099,0.32087,0.16355,0.46265,0.28574,0.29783,0.12665,1.78183,2.89004,1.10431,1.16332,0.00120491,0.00120491,0.00120491
9,130.051,1.77315,2.80943,1.1436,1.10645,0.47825,0.28024,0.31605,0.16822,0.46318,0.26521,0.29201,0.13117,1.78753,2.85445,1.10291,1.16779,0.00113889,0.00113889,0.00113889
10,145.183,1.73817,2.83281,1.10602,1.11322,0.46696,0.29164,0.31097,0.16274,0.46327,0.2858,0.30102,0.13313,1.78786,2.85656,1.09974,1.14925,0.00107288,0.00107288,0.00107288
11,159.532,1.74917,2.71873,1.07577,1.08729,0.45562,0.32451,0.32394,0.17019,0.43775,0.30613,0.30265,0.1303,1.78534,2.87389,1.11144,1.15053,0.00100687,0.00100687,0.00100687
12,174.415,1.71911,2.71818,1.08021,1.07466,0.47088,0.31792,0.32934,0.17413,0.45243,0.29308,0.30387,0.13597,1.73689,2.77982,1.09047,1.1335,0.000940855,0.000940855,0.000940855
13,189.641,1.78467,2.87985,1.1087,1.07269,0.49881,0.28914,0.31629,0.16718,0.47522,0.26853,0.29165,0.13077,1.75427,2.81466,1.11921,1.13375,0.000874842,0.000874842,0.000874842
14,204.051,1.75387,2.71309,1.10607,1.06446,0.4718,0.3525,0.34957,0.18376,0.44266,0.3262,0.32359,0.14485,1.7444,2.74448,1.06373,1.1374,0.000808828,0.000808828,0.000808828
15,220.547,1.69043,2.75808,1.05519,1.07603,0.47679,0.36609,0.34937,0.18709,0.45064,0.33598,0.32398,0.14706,1.73728,2.76746,1.08463,1.1435,0.000742815,0.000742815,0.000742815
16,264.072,1.78458,2.73544,1.19253,1.08548,0.48453,0.32354,0.33076,0.17819,0.46033,0.30298,0.30475,0.1403,1.73814,2.81254,1.09782,1.1468,0.000676802,0.000676802,0.000676802
17,278.366,1.78304,2.68806,1.15038,1.06951,0.48512,0.29031,0.31428,0.17136,0.4684,0.2742,0.29184,0.13374,1.7365,2.81313,1.0839,1.14488,0.000610789,0.000610789,0.000610789
18,292.491,1.72161,2.65077,1.12175,1.07395,0.46164,0.33016,0.33287,0.17888,0.43205,0.30101,0.30112,0.13655,1.72416,2.79572,1.08568,1.12934,0.000544776,0.000544776,0.000544776
19,306.255,1.75026,2.68834,1.20365,1.07842,0.46586,0.33707,0.3357,0.18105,0.43212,0.30778,0.30475,0.13759,1.72253,2.79553,1.08353,1.13155,0.000478762,0.000478762,0.000478762
20,320.126,1.76536,2.65525,1.16059,1.07207,0.47938,0.34946,0.34469,0.18523,0.44848,0.31532,0.31387,0.1402,1.71287,2.76358,1.09523,1.12325,0.000412749,0.000412749,0.000412749
21,333.735,1.75814,2.63855,1.11496,1.05137,0.48768,0.35481,0.35003,0.18608,0.46567,0.32486,0.32315,0.14409,1.70343,2.74371,1.08617,1.12083,0.000346736,0.000346736,0.000346736
22,347.36,1.77735,2.68865,1.14616,1.06808,0.48627,0.34575,0.34783,0.18722,0.47166,0.32424,0.32532,0.14601,1.70426,2.73635,1.07594,1.11589,0.000280723,0.000280723,0.000280723
23,361.025,1.78152,2.66412,1.1304,1.05702,0.48662,0.34874,0.35249,0.18675,0.47268,0.33184,0.33166,0.14955,1.70773,2.73492,1.06833,1.11716,0.00021471,0.00021471,0.00021471
24,374.501,1.69421,2.56574,1.08216,1.06411,0.4819,0.34944,0.3517,0.1856,0.47122,0.32592,0.32947,0.15034,1.71644,2.74587,1.06524,1.12652,0.000148696,0.000148696,0.000148696
25,388.126,1.71358,2.59643,1.08218,1.06666,0.47299,0.34588,0.34727,0.18335,0.46692,0.32092,0.32421,0.14769,1.71405,2.74179,1.07514,1.12894,8.26832e-05,8.26832e-05,8.26832e-05
