epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3814,1.76494,3.00522,1.13605,1.12948,0.45182,0.34254,0.3641,0.19117,0.10364,0.06643,0.04315,0.01129,1.78565,20.3425,1.61814,1.08124,0.0676625,0.0001625,0.0001625
2,29.4896,1.788,2.86158,1.09023,1.07518,0.46657,0.37156,0.36434,0.18971,0.4324,0.33539,0.32585,0.14232,1.76671,3.21062,1.15286,1.09049,0.0344937,0.000326994,0.000326994
3,43.0315,1.81334,2.84615,1.10862,1.08603,0.4587,0.36374,0.34985,0.18073,0.41433,0.32801,0.31245,0.14074,1.82418,2.69376,1.10783,1.1087,0.00132262,0.000489288,0.000489288
4,56.4227,1.72246,2.8325,1.06753,1.11489,0.465,0.35576,0.35196,0.18263,0.4446,0.32851,0.32164,0.14697,1.78575,2.63344,1.11305,1.09134,0.0004901,0.0004901,0.0004901
5,70.2721,1.77686,2.88784,1.08853,1.08785,0.46614,0.36813,0.35148,0.18444,0.44244,0.34378,0.3254,0.15072,1.76864,2.61857,1.10012,1.08327,0.0004868,0.0004868,0.0004868
6,84.3592,1.80942,2.90783,1.09993,1.07947,0.45968,0.35816,0.3415,0.17732,0.40344,0.33253,0.30396,0.14187,1.77366,2.66426,1.1144,1.08392,0.0004835,0.0004835,0.0004835
7,98.5373,1.71257,2.75376,1.08064,1.07839,0.48152,0.35511,0.36141,0.18788,0.44823,0.32593,0.32402,0.1521,1.75912,2.61643,1.06555,1.08279,0.0004802,0.0004802,0.0004802
8,112.34,1.61067,2.74922,0.98005,1.07677,0.51257,0.35619,0.37739,0.19715,0.48039,0.33919,0.35222,0.16491,1.75957,2.60713,1.05116,1.09296,0.0004769,0.0004769,0.0004769
9,125.118,1.61158,2.67479,1.01952,1.07384,0.49049,0.35741,0.37087,0.1941,0.47106,0.32618,0.33541,0.15761,1.75799,2.58358,1.05269,1.08912,0.0004736,0.0004736,0.0004736
10,139.097,1.7056,2.75501,1.08112,1.07487,0.46746,0.37816,0.37117,0.19447,0.44168,0.33997,0.33563,0.15628,1.75752,2.60888,1.06085,1.07602,0.0004703,0.0004703,0.0004703
11,152.924,1.64011,2.69605,1.00725,1.05272,0.49579,0.37965,0.38662,0.20172,0.46739,0.35923,0.36488,0.17169,1.7478,2.55645,1.04522,1.07679,0.000467,0.000467,0.000467
12,166.786,1.64508,2.71358,1.00518,1.05299,0.49163,0.3678,0.37214,0.19735,0.47613,0.35494,0.35601,0.16642,1.74444,2.56328,1.0455,1.08283,0.0004637,0.0004637,0.0004637
13,180.633,1.67702,2.71015,1.02382,1.05245,0.49319,0.36274,0.3689,0.19435,0.46804,0.34015,0.34152,0.16175,1.73355,2.57098,1.04352,1.08295,0.0004604,0.0004604,0.0004604
14,194.622,1.67551,2.68338,1.01263,1.05962,0.48197,0.357,0.36264,0.1915,0.45329,0.33385,0.33211,0.15687,1.73226,2.56854,1.04391,1.08313,0.0004571,0.0004571,0.0004571
15,208.753,1.73714,2.75583,1.06334,1.06191,0.51515,0.36555,0.37403,0.19609,0.49114,0.34272,0.34509,0.16109,1.73649,2.55502,1.0441,1.08524,0.0004538,0.0004538,0.0004538
16,222.886,1.6461,2.67377,0.9995,1.05272,0.51578,0.37639,0.38397,0.20024,0.48592,0.35418,0.35736,0.16374,1.74133,2.54665,1.03565,1.08331,0.0004505,0.0004505,0.0004505
17,236.792,1.71707,2.71499,1.06213,1.04667,0.53043,0.40013,0.39787,0.20506,0.49452,0.37568,0.37044,0.17133,1.74208,2.54674,1.03595,1.08516,0.0004472,0.0004472,0.0004472
18,250.499,1.60689,2.60576,0.96861,1.04857,0.53242,0.40481,0.39726,0.20368,0.49831,0.3746,0.36684,0.17117,1.74226,2.55131,1.03945,1.08621,0.0004439,0.0004439,0.0004439
