epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.761,1.80318,3.10902,1.21535,1.11187,0.32398,0.27375,0.23239,0.11668,0.32579,0.22032,0.20305,0.08203,1.9855,4.17755,1.48181,1.09274,0.0673861,0.000163889,0.000163889
2,29.6901,1.78393,2.89941,1.15454,1.1029,0.40517,0.31075,0.28101,0.14649,0.36535,0.26046,0.2367,0.10317,1.8581,3.1631,1.36065,1.0802,0.0342173,0.000328374,0.000328374
3,44.3883,1.69155,2.78358,1.07857,1.08615,0.44178,0.30546,0.31139,0.16132,0.3827,0.26834,0.26322,0.11708,1.79636,2.62837,1.13507,1.05196,0.00104621,0.000490659,0.000490659
4,58.8137,1.72288,2.76915,1.12042,1.09143,0.43557,0.2997,0.31041,0.16412,0.39521,0.26431,0.26879,0.12357,1.7752,2.61515,1.13418,1.04544,0.0004901,0.0004901,0.0004901
5,74.7866,1.74227,2.81278,1.12208,1.10009,0.43732,0.33125,0.32533,0.16679,0.39938,0.29932,0.28624,0.1289,1.78536,2.6159,1.14582,1.05677,0.0004868,0.0004868,0.0004868
6,90.0962,1.71163,2.79574,1.09364,1.08536,0.47047,0.34274,0.33591,0.17592,0.43042,0.30763,0.29669,0.13327,1.7848,2.66382,1.12613,1.06002,0.0004835,0.0004835,0.0004835
7,104.217,1.70717,2.73751,1.05448,1.09983,0.47063,0.32054,0.33106,0.17441,0.42854,0.29251,0.29311,0.13453,1.78888,2.59509,1.1094,1.05768,0.0004802,0.0004802,0.0004802
8,118.738,1.76586,2.80518,1.12007,1.07873,0.44681,0.2946,0.30839,0.16053,0.40197,0.26176,0.26355,0.12117,1.79464,2.59849,1.11601,1.05341,0.0004769,0.0004769,0.0004769
9,133.611,1.70657,2.80899,1.07889,1.09436,0.42413,0.31684,0.31483,0.16382,0.36822,0.27406,0.26455,0.11997,1.80838,2.64329,1.11606,1.05356,0.0004736,0.0004736,0.0004736
10,148.732,1.63832,2.70628,1.006,1.08537,0.45585,0.34023,0.34594,0.17718,0.41355,0.31034,0.30707,0.13584,1.78719,2.60431,1.11784,1.05652,0.0004703,0.0004703,0.0004703
11,163.109,1.66226,2.65462,1.05128,1.08115,0.43432,0.34299,0.33394,0.17185,0.40175,0.31577,0.30114,0.13621,1.78367,2.58742,1.13182,1.05885,0.000467,0.000467,0.000467
12,177.704,1.66721,2.68652,1.04454,1.07347,0.43543,0.34747,0.33558,0.17096,0.37543,0.32921,0.2964,0.13436,1.79347,2.58566,1.17187,1.06039,0.0004637,0.0004637,0.0004637
13,192.973,1.73408,2.80598,1.07815,1.07183,0.43972,0.35698,0.34447,0.17667,0.39906,0.31688,0.29699,0.13578,1.78355,2.61388,1.14484,1.05252,0.0004604,0.0004604,0.0004604
14,207.839,1.71136,2.71074,1.0265,1.05541,0.43546,0.36211,0.34652,0.18012,0.38278,0.32296,0.29824,0.13671,1.77892,2.62834,1.11687,1.04957,0.0004571,0.0004571,0.0004571
15,223.038,1.6221,2.68777,0.98046,1.05583,0.45118,0.34698,0.35188,0.18396,0.38008,0.32056,0.30356,0.13462,1.79199,2.6093,1.09933,1.05187,0.0004538,0.0004538,0.0004538
16,238.04,1.58617,2.67341,0.9669,1.07957,0.47394,0.33004,0.35375,0.18303,0.43111,0.29779,0.31012,0.138,1.79846,2.58491,1.09997,1.05328,0.0004505,0.0004505,0.0004505
17,253.246,1.66083,2.68715,1.01375,1.05406,0.45725,0.35418,0.35742,0.18361,0.41824,0.32758,0.31947,0.14356,1.78739,2.58634,1.09237,1.05649,0.0004472,0.0004472,0.0004472
18,268.348,1.64211,2.64778,1.01527,1.0623,0.47621,0.35418,0.36495,0.19071,0.43033,0.33463,0.32882,0.15285,1.77087,2.56759,1.0906,1.05161,0.0004439,0.0004439,0.0004439
19,283.285,1.59817,2.58684,0.99512,1.07998,0.47361,0.35649,0.36526,0.19003,0.42371,0.3362,0.32725,0.15303,1.76969,2.55905,1.11482,1.05268,0.0004406,0.0004406,0.0004406
20,298.345,1.69468,2.70646,1.03514,1.08145,0.47829,0.35664,0.36242,0.19122,0.41986,0.33109,0.32261,0.14845,1.77196,2.5567,1.09618,1.05285,0.0004373,0.0004373,0.0004373
21,313.505,1.65759,2.65937,1.01015,1.05419,0.49545,0.33891,0.35559,0.18537,0.44012,0.3058,0.31121,0.14031,1.78976,2.56687,1.08478,1.05305,0.000434,0.000434,0.000434
22,328.683,1.6571,2.67179,1.02199,1.05711,0.47776,0.33395,0.3525,0.1842,0.43436,0.31207,0.31885,0.14388,1.77622,2.55186,1.08539,1.04993,0.0004307,0.0004307,0.0004307
23,343.003,1.63033,2.62542,1.01391,1.05685,0.4861,0.33938,0.3567,0.18425,0.43393,0.31807,0.31993,0.14558,1.7697,2.55968,1.08616,1.05315,0.0004274,0.0004274,0.0004274
24,357.71,1.5591,2.51639,0.94015,1.06478,0.47629,0.33303,0.35094,0.18404,0.43978,0.30972,0.31565,0.14514,1.77157,2.56303,1.09715,1.04964,0.0004241,0.0004241,0.0004241
25,372.754,1.65168,2.62614,1.00644,1.06186,0.46269,0.35102,0.35814,0.18605,0.43663,0.31908,0.32447,0.14782,1.77171,2.56057,1.09856,1.05325,0.0004208,0.0004208,0.0004208
26,387.037,1.64259,2.62268,0.99632,1.06049,0.47881,0.33766,0.3586,0.1879,0.4385,0.30308,0.31765,0.14499,1.77991,2.5757,1.08192,1.05104,0.0004175,0.0004175,0.0004175
27,401.825,1.59963,2.54716,0.99686,1.05497,0.49991,0.32562,0.35691,0.18795,0.4629,0.29219,0.31537,0.14233,1.77524,2.56998,1.08274,1.04908,0.0004142,0.0004142,0.0004142
28,416.876,1.61217,2.62726,0.97677,1.07107,0.46145,0.34358,0.35318,0.18668,0.42425,0.31128,0.31521,0.14152,1.77864,2.56687,1.08244,1.04903,0.0004109,0.0004109,0.0004109
29,431.847,1.58724,2.63157,0.96616,1.06859,0.495,0.34037,0.359,0.18875,0.44618,0.32193,0.32469,0.14996,1.77336,2.53412,1.07688,1.0502,0.0004076,0.0004076,0.0004076
30,445.925,1.66633,2.56776,1.01166,1.06314,0.46098,0.35815,0.36412,0.19047,0.41845,0.32762,0.32704,0.15047,1.76807,2.53872,1.07691,1.05117,0.0004043,0.0004043,0.0004043
