epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8101,1.74085,2.77804,1.11473,1.10619,0.48307,0.35697,0.36242,0.20017,0.46194,0.34568,0.34554,0.15326,1.79409,2.76806,1.11758,1.06092,0.000546406,0.000546406,0.000546406
2,30.4407,1.85976,2.91204,1.17302,1.09049,0.46611,0.32327,0.34746,0.18471,0.44127,0.29872,0.31647,0.13682,1.86313,2.89184,1.13716,1.08526,0.00105843,0.00105843,0.00105843
3,45.2226,1.80745,2.86019,1.17454,1.12172,0.45276,0.33891,0.34219,0.18499,0.43883,0.32841,0.32588,0.14662,1.84529,2.98715,1.16027,1.09758,0.00152645,0.00152645,0.00152645
4,60.4889,1.85371,3.0508,1.20311,1.11658,0.44472,0.3187,0.32002,0.17001,0.41839,0.29787,0.29527,0.12568,1.9172,3.10605,1.22458,1.10316,0.00146896,0.00146896,0.00146896
5,75.4413,1.80625,3.00224,1.20185,1.14176,0.43894,0.28623,0.30752,0.16723,0.40838,0.26215,0.27618,0.12553,1.88534,2.92607,1.17568,1.09183,0.00140295,0.00140295,0.00140295
6,90.7548,1.80915,2.96037,1.1861,1.12579,0.45506,0.26123,0.30131,0.1589,0.39539,0.22979,0.26209,0.11102,1.92161,3.0121,1.18689,1.086,0.00133693,0.00133693,0.00133693
7,105.646,1.80787,2.88253,1.15042,1.09684,0.45423,0.27933,0.32801,0.18019,0.4341,0.26267,0.30764,0.13835,1.86614,2.9481,1.1378,1.07281,0.00127092,0.00127092,0.00127092
8,120.494,1.89136,2.94474,1.229,1.11383,0.47906,0.30728,0.33761,0.18331,0.42574,0.27182,0.2917,0.12682,1.83123,2.87455,1.1566,1.07296,0.00120491,0.00120491,0.00120491
9,135.453,1.76129,2.84018,1.17625,1.09967,0.48043,0.30911,0.33,0.17378,0.44492,0.28221,0.29375,0.12656,1.84946,2.85924,1.18955,1.08468,0.00113889,0.00113889,0.00113889
10,150.572,1.7302,2.81574,1.129,1.10974,0.48112,0.32439,0.34306,0.18847,0.45501,0.30995,0.32085,0.14423,1.81308,2.79666,1.14592,1.07985,0.00107288,0.00107288,0.00107288
11,165.459,1.7768,2.77954,1.13036,1.09323,0.48595,0.32006,0.34499,0.18761,0.4459,0.29586,0.31069,0.13673,1.81866,2.82629,1.14483,1.07612,0.00100687,0.00100687,0.00100687
12,180.24,1.756,2.78125,1.15039,1.10074,0.51482,0.30144,0.34286,0.19229,0.47765,0.27582,0.30898,0.14205,1.78627,2.75232,1.10901,1.06532,0.000940855,0.000940855,0.000940855
13,195.335,1.75366,2.81903,1.13828,1.08176,0.48908,0.33163,0.35642,0.19548,0.45307,0.3019,0.32129,0.14382,1.79924,2.77612,1.12725,1.07237,0.000874842,0.000874842,0.000874842
14,210.194,1.76257,2.72881,1.11798,1.06522,0.48328,0.33602,0.355,0.197,0.45411,0.30513,0.32558,0.1498,1.79486,2.75093,1.11085,1.06695,0.000808828,0.000808828,0.000808828
15,226.263,1.70221,2.74237,1.04965,1.08316,0.47495,0.32366,0.34678,0.18982,0.43894,0.2959,0.31587,0.14527,1.79911,2.76706,1.11769,1.07994,0.000742815,0.000742815,0.000742815
16,268.945,1.81558,2.80818,1.24001,1.09624,0.47206,0.31825,0.33854,0.18296,0.43391,0.29387,0.30479,0.13919,1.83041,2.83245,1.18677,1.08362,0.000676802,0.000676802,0.000676802
17,282.977,1.79684,2.80748,1.22893,1.08479,0.43848,0.31443,0.31692,0.17233,0.40226,0.28999,0.28317,0.12761,1.83225,2.81973,1.21542,1.08605,0.000610789,0.000610789,0.000610789
18,297.102,1.76612,2.7177,1.18665,1.08363,0.44166,0.30313,0.32111,0.17699,0.41118,0.27919,0.29154,0.13257,1.8213,2.7847,1.16852,1.07518,0.000544776,0.000544776,0.000544776
19,311.321,1.75608,2.7304,1.15989,1.08981,0.45181,0.30945,0.32852,0.18179,0.42587,0.28899,0.30471,0.13858,1.80814,2.77495,1.14033,1.07422,0.000478762,0.000478762,0.000478762
20,325.774,1.75302,2.66281,1.14315,1.08051,0.47805,0.34195,0.3455,0.19102,0.44409,0.31787,0.31811,0.1472,1.7939,2.76308,1.11631,1.0711,0.000412749,0.000412749,0.000412749
21,339.805,1.74723,2.67347,1.12931,1.06542,0.49096,0.34619,0.3539,0.1949,0.45903,0.31445,0.31981,0.14638,1.80683,2.78232,1.12225,1.06845,0.000346736,0.000346736,0.000346736
22,353.806,1.77198,2.69064,1.17946,1.08983,0.4864,0.34497,0.35454,0.1945,0.45459,0.32198,0.32542,0.14852,1.81094,2.7735,1.1105,1.07371,0.000280723,0.000280723,0.000280723
23,367.54,1.7539,2.64888,1.10941,1.06299,0.48367,0.34007,0.35264,0.19544,0.45954,0.31391,0.32768,0.15131,1.7988,2.75679,1.09827,1.07251,0.00021471,0.00021471,0.00021471
24,381.712,1.75016,2.66904,1.14136,1.07668,0.49507,0.32964,0.3488,0.19356,0.46109,0.30626,0.31912,0.14841,1.79779,2.76797,1.09212,1.07235,0.000148696,0.000148696,0.000148696
25,395.666,1.73559,2.62265,1.09889,1.07038,0.4951,0.33106,0.35056,0.19401,0.46382,0.3078,0.32046,0.14799,1.79963,2.76447,1.09296,1.07165,8.26832e-05,8.26832e-05,8.26832e-05
