epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3436,2.93268,4.9158,2.77132,1.86221,0.02394,0.024,0.0125,0.00525,0.00519,0.00435,0.00265,0.00055,2.88724,109.404,inf,1.58706,0.081095,9.5e-05,9.5e-05
2,24.1159,2.48073,4.02894,1.90826,1.42,0.08776,0.08754,0.05457,0.02042,0.02219,0.01402,0.0091,0.003,2.53096,46.8401,inf,1.32191,0.0611937,0.000193713,0.000193713
3,34.2437,2.36206,3.74568,1.7307,1.26974,0.15953,0.15687,0.1324,0.06277,0.09023,0.07258,0.05346,0.01675,2.0934,15.5869,6.12433,1.27905,0.0412911,0.000291106,0.000291106
4,44.269,2.20691,3.60774,1.55588,1.23401,0.22565,0.21891,0.16801,0.08661,0.11813,0.14429,0.0751,0.02545,2.07601,9.42161,3.4306,1.21744,0.0213872,0.000387179,0.000387179
5,54.2867,2.07581,3.42483,1.49323,1.19346,0.32747,0.24425,0.20879,0.10097,0.21304,0.20026,0.12092,0.03902,2.02928,5.45815,2.51012,1.26497,0.00148193,0.000481932,0.000481932
6,64.2783,2.03959,3.37207,1.39434,1.2031,0.32411,0.2442,0.21088,0.10976,0.26685,0.22217,0.16146,0.05649,1.92058,3.97603,1.58475,1.21445,0.0004835,0.0004835,0.0004835
7,74.555,2.07255,3.42299,1.40547,1.17953,0.28778,0.22178,0.19866,0.10038,0.25419,0.19013,0.16078,0.06247,2.009,3.86314,1.46167,1.21469,0.0004802,0.0004802,0.0004802
8,83.8739,1.89199,3.18632,1.29568,1.12632,0.30518,0.18945,0.20627,0.10477,0.29193,0.16549,0.18261,0.07254,1.99782,3.73928,1.43487,1.1948,0.0004769,0.0004769,0.0004769
9,93.8766,2.01795,3.23686,1.35581,1.14072,0.2672,0.20205,0.1915,0.09912,0.24145,0.17933,0.16744,0.06829,1.99984,3.57301,1.51557,1.20316,0.0004736,0.0004736,0.0004736
10,103.095,1.96673,3.24714,1.33883,1.15083,0.28393,0.20188,0.20729,0.10942,0.25841,0.18803,0.18374,0.07613,1.88984,3.34065,1.61793,1.18636,0.0004703,0.0004703,0.0004703
11,113.314,1.99371,3.22286,1.29877,1.14056,0.35956,0.22075,0.23982,0.12184,0.33699,0.20001,0.20902,0.08669,1.90918,3.3646,1.28058,1.20085,0.000467,0.000467,0.000467
12,122.642,1.94334,3.16237,1.26249,1.12187,0.3457,0.25206,0.24878,0.12877,0.32231,0.23172,0.22284,0.09553,1.84043,3.34597,1.23698,1.16495,0.0004637,0.0004637,0.0004637
13,132.314,1.89086,3.09068,1.21855,1.10553,0.37632,0.24926,0.26087,0.13691,0.35452,0.23756,0.24553,0.10801,1.83743,3.32485,1.21794,1.15691,0.0004604,0.0004604,0.0004604
