epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,518.274,1.83652,3.0528,1.15676,1.15085,0.40601,0.28079,0.2918,0.13938,0.37127,0.26025,0.26366,0.11003,1.84004,2.85919,1.14445,1.0789,0.0011884,0.0011884,0.0011884
31,534.149,1.82767,3.0462,1.11334,1.13184,0.404,0.26813,0.28134,0.1393,0.35952,0.24308,0.24946,0.10698,1.83224,2.85941,1.13672,1.07033,0.0011719,0.0011719,0.0011719
32,547.931,1.82161,3.01474,1.05995,1.11219,0.39428,0.25307,0.27114,0.13556,0.37981,0.2405,0.25598,0.11605,1.82134,2.95251,1.15788,1.07393,0.0011554,0.0011554,0.0011554
33,567.119,1.91196,3.08456,1.14539,1.10018,0.39956,0.27419,0.2823,0.13783,0.3829,0.26738,0.27185,0.11852,1.83161,2.86099,1.11977,1.0799,0.00113889,0.00113889,0.00113889
34,585.691,1.85243,2.96622,1.14705,1.11829,0.40369,0.26951,0.2843,0.13982,0.39062,0.25591,0.27171,0.12348,1.81163,2.81755,1.11215,1.06651,0.00112239,0.00112239,0.00112239
35,599.493,1.79352,2.98842,1.06412,1.11696,0.39013,0.23907,0.26726,0.13252,0.37551,0.22582,0.25452,0.11766,1.86024,2.8387,1.13295,1.0774,0.00110589,0.00110589,0.00110589
36,619.924,1.82373,2.96707,1.09728,1.09758,0.39934,0.24324,0.27785,0.13622,0.38623,0.23263,0.2629,0.1188,1.86945,2.81133,1.12316,1.08026,0.00108938,0.00108938,0.00108938
37,640.494,1.8768,3.0579,1.14732,1.11543,0.40095,0.29179,0.29349,0.14512,0.38987,0.28504,0.28307,0.12339,1.84185,2.87607,1.11438,1.07977,0.00107288,0.00107288,0.00107288
38,655.739,1.82447,3.00586,1.09924,1.13257,0.38975,0.2776,0.27307,0.135,0.38912,0.28059,0.27558,0.12425,1.85555,2.79569,1.13857,1.09223,0.00105638,0.00105638,0.00105638
39,676.324,1.8266,3.01508,1.07379,1.12691,0.375,0.26852,0.26517,0.13206,0.35668,0.24822,0.24744,0.11212,1.81579,2.83334,1.11996,1.08859,0.00103987,0.00103987,0.00103987
