epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5995,2.74999,5.13347,2.72603,1.89889,0.02101,0.02981,0.0111,0.0045,0.00622,0.00792,0.00315,0.00094,2.64323,10.4168,inf,1.36122,0.081095,9.5e-05,9.5e-05
2,22.3704,2.42056,4.15438,1.82151,1.40473,0.07521,0.10112,0.04656,0.02012,0.0474,0.06666,0.02733,0.00872,2.81153,9.75647,inf,1.32328,0.0611937,0.000193713,0.000193713
3,33.1171,2.38331,3.89933,1.77502,1.31802,0.13538,0.11566,0.10848,0.05069,0.1186,0.09452,0.08774,0.03202,2.48315,5.83837,4.74847,1.2193,0.0412911,0.000291106,0.000291106
4,43.8446,2.28603,3.68986,1.63065,1.24502,0.11717,0.11447,0.08012,0.03232,0.06186,0.06357,0.04121,0.01198,2.79606,6.77325,7.16894,1.2391,0.0213872,0.000387179,0.000387179
5,54.5031,2.19243,3.59722,1.57702,1.21402,0.24014,0.20753,0.16948,0.08432,0.20731,0.16713,0.14199,0.04975,2.18666,4.20202,2.83988,1.15806,0.00148193,0.000481932,0.000481932
6,64.3125,2.11673,3.4398,1.47604,1.22913,0.26998,0.2355,0.20545,0.10227,0.24426,0.21371,0.18142,0.07486,2.10054,3.52964,1.87883,1.17619,0.0004835,0.0004835,0.0004835
7,73.9805,2.02836,3.35348,1.3917,1.20004,0.25611,0.20372,0.19822,0.09636,0.21446,0.17346,0.16073,0.06387,2.07966,3.62527,1.57939,1.1418,0.0004802,0.0004802,0.0004802
8,83.4448,1.88229,3.22532,1.25865,1.1565,0.32057,0.16841,0.20431,0.1022,0.28505,0.14163,0.16888,0.07442,2.07908,3.50473,1.44717,1.13666,0.0004769,0.0004769,0.0004769
9,93.3409,2.05816,3.34093,1.39608,1.1753,0.32653,0.16906,0.19955,0.10191,0.28961,0.1478,0.17422,0.07703,2.11193,3.6018,1.39629,1.1455,0.0004736,0.0004736,0.0004736
10,103.271,1.96401,3.27098,1.29606,1.13904,0.33641,0.20693,0.22742,0.11245,0.30568,0.20025,0.21134,0.08763,2.05821,3.59428,1.32498,1.12953,0.0004703,0.0004703,0.0004703
11,113.048,1.96379,3.2641,1.24834,1.13839,0.34486,0.24713,0.24439,0.12205,0.31988,0.22566,0.22597,0.09508,2.00217,3.33609,1.2875,1.10559,0.000467,0.000467,0.000467
12,122.883,1.93241,3.17528,1.24844,1.11647,0.36146,0.20967,0.23592,0.12358,0.34061,0.19456,0.22122,0.09689,1.95767,3.22828,1.25113,1.09163,0.0004637,0.0004637,0.0004637
13,133.034,1.95388,3.22545,1.2443,1.11978,0.32953,0.20711,0.22626,0.11605,0.31481,0.19553,0.21401,0.09623,2.01289,3.28821,1.26109,1.11787,0.0004604,0.0004604,0.0004604
14,142.64,1.91319,3.18963,1.21852,1.11229,0.33078,0.22708,0.24193,0.12307,0.32536,0.2149,0.22925,0.10214,1.99409,3.25182,1.27022,1.11653,0.0004571,0.0004571,0.0004571
